Beer,beer/,,,,,,,,,,,,,,,,
Sake,sake/,,,,,,,,,,,,,,,,
Brandy,brandy/,,,,,,,,,,,,,,,,
Champagne & Sparkling Wines,champagne/,,,,,,,,,,,,,,,,
Gin,gin/,,,,,,,,,,,,,,,,
Liqueurs,liqueurs/,,,,,,,,,,,,,,,,
Rum,rum/,,,,,,,,,,,,,,,,
Tequila,tequila/,,,,,,,,,,,,,,,,
Whisky,whisky/,,,,,,,,,,,,,,,,
Wine & Fortified Wine,wine/,,,,,,,,,,,,,,,,
Shots,shooters/,,,,,,,,,,,,,,,,
Old Cuban,old_cuban.txt,10284,10146,10011,10193,10267,10378,10227,,,,,,,,,
Paradis,paradis.txt,10172,10093,10074,10378,10261,,,,,,,,,,,
Passion,passion.txt,10285,10098,10146,10193,10378,,,,,,,,,,,
Pimms Royal,pimms_royal.txt,10110,10378,10249,10274,,,,,,,,,,,,
Pineapple Flirtini,pineapple_flirtini.txt,10331,10378,10154,10260,,,,,,,,,,,,
Pink Framboise Dream,pink_framboise_dream.txt,10102,10093,10144,10378,,,,,,,,,,,,
Poire Williams Champagne Cocktail,poire_williams_champagne_cocktail.txt,10026,10193,10378,,,,,,,,,,,,,
Prince of Wales,prince_of_wales.txt,10014,10362,10093,10011,10378,10257,,,,,,,,,,
Ritz,ritz.txt,10151,10015,10093,10378,,,,,,,,,,,,
Ritz 75,ritz_75.txt,10029,10145,10148,10222,10378,,,,,,,,,,,
Royal Gin Fizz,royal_gin_fizz.txt,10029,10145,10231,10193,10378,,,,,,,,,,,
Typhoon,typhoon.txt,10029,10042,10146,10378,10250,,,,,,,,,,,
Valencia Royale,valencia_royale.txt,10022,10151,10378,10257,,,,,,,,,,,,
Violet Champagne Damour,violet_champagne_damour.txt,10109,10145,10093,10378,10269,,,,,,,,,,,
Volcano,volcano.txt,10100,10088,10378,10257,,,,,,,,,,,,
#Gin,,,,,,,,,,,,,,,,,
Abbey Cocktail,abbey_cocktail.txt,10029,10357,10151,10011,10252,,,,,,,,,,,
Alexander,alexander.txt,10029,10053,10135,10218,,,,,,,,,,,,
Antibes,antibes.txt,10029,10045,10144,10257,,,,,,,,,,,,
Arcadia,arcadia.txt,10029,10105,10074,10144,,,,,,,,,,,,
Bali Highball,bali_highball.txt,10029,10162,10146,10191,10118,10250,10269,,,,,,,,,
