Beer,beer/,,,,,,,,,,
Sake,sake/,,,,,,,,,,
Brandy,brandy/,,,,,,,,,,
Champagne & Sparkling Wines,champagne_and_sparkling_wine/,,,,,,,,,,
Gin,gin/,,,,,,,,,,
Liqueurs,liqueurs/,,,,,,,,,,
#Beer Drinks,,,,,,,,,,,
Old Cuban,old_cuban.txt,10283,10145,10011,10192,10266,10377,10226,,,
Paradis,paradis.txt,10171,10092,10073,10377,10260,,,,,
Passion,passion.txt,10284,10097,10145,10192,10377,,,,,
Pimms Royal,pimms_royal.txt,10109,10377,10248,10273,,,,,,
Pineapple Flirtini,pineapple_flirtini.txt,10330,10377,10153,10259,,,,,,
Pink Framboise Dream,pink_framboise_dream.txt,10101,10092,10143,10377,,,,,,
Poire Williams Champagne Cocktail,poire_williams_champagne_cocktail.txt,10025,10192,10377,,,,,,,
Prince of Wales,prince_of_wales.txt,10013,10361,10092,10011,10377,10256,,,,
Ritz,ritz.txt,10150,10014,10092,10377,,,,,,
Ritz 75,ritz_75.txt,10028,10144,10147,10221,10377,,,,,
Royal Gin Fizz,royal_gin_fizz.txt,10028,10144,10230,10192,10377,,,,,
Typhoon,typhoon.txt,10028,10041,10145,10377,10249,,,,,
Valencia Royale,valencia_royale.txt,10021,10150,10377,10256,,,,,,
Violet Champagne Damour,violet_champagne_damour.txt,10108,10144,10092,10377,10268,,,,,
Volcano,volcano.txt,10099,10087,10377,10256,,,,,,
#Gin,,,,,,,,,,,
Abbey Cocktail,abbey_cocktail.txt,10028,10356,10150,10011,10251,,,,,
Alexander,alexander.txt,10028,10052,10134,10217,,,,,,
Antibes,antibes.txt,10028,10044,10143,10256,,,,,,
Arcadia,arcadia.txt,10028,10104,10073,10143,,,,,,
Bali Highball,bali_highball.txt,10028,10161,10145,10190,10117,10249,10268,,,
Beauty Spot,beauty_spot.txt,10028,10052,10231,10185,,,,,,
Bella Bella,bella_bella.txt,10028,10045,10079,10090,10150,10249,,,,
Blue Monday,blue_monday.txt,10028,10092,10087,10117,,,,,,
Boston Cocktail,boston_cocktail.txt,10028,10021,10144,10185,,,,,,
Bramble,bramble.txt,10245,10221,10145,10028,10075,10117,10249,,,
Bronx Cocktail,bronx_cocktail.txt,10028,10358,10360,10150,10256,,,,,
Capri Cocktail,capri_cocktail.txt,10028,10079,10313,10143,10148,,,,,
Caribbean Sunset,caribbean_sunset.txt,10028,10073,10087,10144,10134,10185,10256,10251,,
Chelsea Sidecar,chelsea_sidecar.txt,10248,10028,10092,10144,,,,,,
Cherry Cobbler,cherry_cobbler.txt,10028,10077,10061,10144,10192,10117,10248,10251,10267,
Classic Gimlet,classic_gimlet.txt,10028,10146,10249,,,,,,,
Classic Martini,classic_martini.txt,10028,10358,10255,,,,,,,
Classic Negroni,classic_negroni.txt,10028,10045,10360,10117,,,,,,
Coco Chanel,coco_chanel.txt,10028,10055,10134,,,,,,,
Contemporary Gimlet,contemporary_gimlet.txt,10028,10146,10249,,,,,,,
Costa del Sol,costa_del_sol.txt,10028,10092,10021,,,,,,,
